Country,year,Public health,Soil,Discarded vechiles
Montenegro,2018,809.0,140396.0,97.0
North Macedonia,2018,858.0,6447.0,205.0
Serbia,2018,4175.0,209297.0,3297.0
Türkiye,2018,89706.0,364864.0,154.0
European Union - 27 countries (from 2020),2020,2070000.0,448060000.0,6180000.0
European Union - 28 countries (2013-2020),2020,2170000.0,466630000.0,8242500.0
Belgium,2020,76810.0,2815477.0,404201.0
Bulgaria,2020,6669.0,332480.0,274.0
Czechia,2020,44895.0,15855061.0,3660.5
Denmark,2020,7662.0,6087665.0,5849.0
Germany,2020,399905.0,127294940.0,456791.0
Estonia,2020,2227.0,1670289.0,19070.0
Ireland,2020,14853.0,4312901.0,45578.0
Greece,2020,17631.0,1884728.0,70477.0
Spain,2020,116411.0,18862419.0,781229.0
France,2020,498806.0,145874313.0,1755398.0
Croatia,2020,6866.0,506588.0,52842.0
Italy,2020,183083.0,14717097.0,1466693.0
Cyprus,2020,1379.0,645110.0,9955.0
Latvia,2020,1438.0,25786.0,8793.0
Lithuania,2020,4182.0,69831.0,42992.0
Luxembourg,2020,1415.0,7103413.0,2274.0
Hungary,2020,17389.0,3148391.0,25922.0
Malta,2020,632.0,12980.0,12760.0
Netherlands,2020,29173.0,7269962.0,247753.0
Austria,2020,45757.0,40785648.0,50940.0
Poland,2020,482519.0,20708526.0,2977.0
Portugal,2020,47976.0,421848.0,84490.0
Romania,2020,36632.0,1105647.0,83782.0
Slovenia,2020,6079.0,2887034.0,13244.0
Slovakia,2020,13540.0,1176421.0,54853.0
Finland,2020,3531.0,13365262.0,71108.0
Sweden,2020,4845.0,9125163.0,284960.0
Iceland,2020,412.0,112443.0,41.0
Liechtenstein,2020,3.5,501850.0,5.0
Norway,2020,459.0,2749005.0,211666.0
United Kingdom,2020,411346.0,55120645.0,1163641.0
Bosnia and Herzegovina,2020,32.0,25473.0,26.0
Montenegro,2020,570.0,142646.0,93.0
North Macedonia,2020,1425.0,2461.0,322.0
Serbia,2020,4234.0,222365.0,2006.0
Türkiye,2020,109961.0,208924.0,352.0
